order_item_id,order_id,product_name,product_category,unit_price,quantity
OI-0001,ORD-10001,Yoga Mat,Sports,55.0,1
OI-0002,ORD-10002,USB-C Hub,Electronics,120.0,3
OI-0003,ORD-10002,4K Monitor,Electronics,25.0,2
OI-0004,ORD-10003,Moisturizer,Beauty,18.0,4
OI-0005,ORD-10003,Shampoo,Beauty,14.0,1
OI-0006,ORD-10003,Face Serum,Beauty,14.0,1
OI-0007,ORD-10004,Photo Frame,Home,24.0,4
OI-0008,ORD-10004,Desk Lamp,Home,35.0,4
OI-0009,ORD-10004,Candles,Home,35.0,4
OI-0010,ORD-10005,Wireless Mouse,Electronics,299.0,2
OI-0011,ORD-10005,Throw Pillow,Home,9.0,3
OI-0012,ORD-10005,Photo Frame,Home,9.0,3
OI-0013,ORD-10006,Self-Help,Books,16.0,1
OI-0014,ORD-10006,Mystery,Books,29.0,4
OI-0015,ORD-10007,Resistance Bands,Sports,8.0,4
OI-0016,ORD-10007,Sci-Fi Novel,Books,19.0,4
OI-0017,ORD-10008,Hoodie,Clothing,65.0,4
OI-0018,ORD-10008,Cotton Tee,Clothing,19.0,4
OI-0019,ORD-10009,Throw Pillow,Home,12.0,1
OI-0020,ORD-10010,Shampoo,Beauty,18.0,4
OI-0021,ORD-10010,Bluetooth Speaker,Electronics,25.0,3
OI-0022,ORD-10010,4K Monitor,Electronics,25.0,2
OI-0023,ORD-10011,Cookbook,Books,16.0,3
OI-0024,ORD-10012,Resistance Bands,Sports,11.0,2
OI-0025,ORD-10012,Jump Rope,Sports,11.0,1
OI-0026,ORD-10012,Resistance Bands,Sports,22.0,2
OI-0027,ORD-10013,Biography,Books,19.0,3
OI-0028,ORD-10013,Cookbook,Books,13.0,4
OI-0029,ORD-10014,Wireless Mouse,Electronics,25.0,2
OI-0030,ORD-10015,4K Monitor,Electronics,49.0,3
OI-0031,ORD-10015,4K Monitor,Electronics,120.0,1
OI-0032,ORD-10016,Mechanical Keyboard,Electronics,25.0,1
OI-0033,ORD-10017,Running Shorts,Clothing,28.0,4
OI-0034,ORD-10017,Denim Jacket,Clothing,15.0,1
OI-0035,ORD-10018,Resistance Bands,Sports,11.0,4
OI-0036,ORD-10018,Resistance Bands,Sports,22.0,2
OI-0037,ORD-10019,Wireless Mouse,Electronics,49.0,3
OI-0038,ORD-10019,Hoodie,Clothing,42.0,3
OI-0039,ORD-10020,Bluetooth Speaker,Electronics,49.0,2
OI-0040,ORD-10021,Denim Jacket,Clothing,15.0,3
OI-0041,ORD-10021,Cotton Tee,Clothing,28.0,1
OI-0042,ORD-10022,Photo Frame,Home,18.0,4
OI-0043,ORD-10022,Candles,Home,24.0,1
OI-0044,ORD-10023,Shampoo,Beauty,34.0,4
OI-0045,ORD-10023,Shampoo,Beauty,18.0,4
OI-0046,ORD-10024,Canvas Belt,Clothing,28.0,1
OI-0047,ORD-10025,Biography,Books,29.0,3
OI-0048,ORD-10025,Wireless Mouse,Electronics,120.0,1
OI-0049,ORD-10026,Resistance Bands,Sports,15.0,2
OI-0050,ORD-10026,Dumbbell Set,Sports,15.0,2
OI-0051,ORD-10026,Dumbbell Set,Sports,22.0,2
OI-0052,ORD-10027,Canvas Belt,Clothing,15.0,4
OI-0053,ORD-10027,Canvas Belt,Clothing,15.0,3
OI-0054,ORD-10027,Biography,Books,29.0,4
OI-0055,ORD-10028,4K Monitor,Electronics,299.0,1
OI-0056,ORD-10029,Shampoo,Beauty,6.0,4
OI-0057,ORD-10029,Shampoo,Beauty,12.0,1
OI-0058,ORD-10030,Mechanical Keyboard,Electronics,120.0,4
OI-0059,ORD-10030,Sunscreen,Beauty,18.0,4
OI-0060,ORD-10030,Face Serum,Beauty,12.0,4
OI-0061,ORD-10031,Moisturizer,Beauty,6.0,1
OI-0062,ORD-10031,Shampoo,Beauty,18.0,2
OI-0063,ORD-10031,Lip Balm,Beauty,6.0,2
OI-0064,ORD-10032,Biography,Books,21.0,4
OI-0065,ORD-10032,Mystery,Books,16.0,3
OI-0066,ORD-10033,Canvas Belt,Clothing,28.0,3
OI-0067,ORD-10034,Sunscreen,Beauty,34.0,3
OI-0068,ORD-10034,Face Serum,Beauty,12.0,3
OI-0069,ORD-10035,Candles,Home,12.0,1
OI-0070,ORD-10035,Candles,Home,24.0,2
OI-0071,ORD-10035,Photo Frame,Home,35.0,4
OI-0072,ORD-10036,Shampoo,Beauty,12.0,2
OI-0073,ORD-10036,Candles,Home,12.0,2
OI-0074,ORD-10036,Cotton Tee,Clothing,42.0,1
OI-0075,ORD-10037,Sunscreen,Beauty,18.0,3
OI-0076,ORD-10037,Face Serum,Beauty,14.0,4
OI-0077,ORD-10037,Face Serum,Beauty,14.0,2
OI-0078,ORD-10038,Bluetooth Speaker,Electronics,299.0,2
OI-0079,ORD-10038,Shampoo,Beauty,6.0,2
OI-0080,ORD-10038,4K Monitor,Electronics,89.0,2
OI-0081,ORD-10039,Canvas Belt,Clothing,28.0,4
OI-0082,ORD-10039,Running Shorts,Clothing,15.0,4
OI-0083,ORD-10040,Mechanical Keyboard,Electronics,49.0,3
OI-0084,ORD-10041,Hoodie,Clothing,15.0,1
OI-0085,ORD-10042,Moisturizer,Beauty,12.0,1
OI-0086,ORD-10042,Shampoo,Beauty,6.0,2
OI-0087,ORD-10042,Moisturizer,Beauty,34.0,4
OI-0088,ORD-10043,Yoga Mat,Sports,8.0,3
OI-0089,ORD-10043,Desk Lamp,Home,24.0,2
OI-0090,ORD-10044,Wireless Mouse,Electronics,299.0,2
OI-0091,ORD-10045,Lip Balm,Beauty,34.0,4
OI-0092,ORD-10046,Cotton Tee,Clothing,19.0,3
OI-0093,ORD-10046,Denim Jacket,Clothing,15.0,4
OI-0094,ORD-10047,Dumbbell Set,Sports,15.0,1
OI-0095,ORD-10048,Jump Rope,Sports,8.0,1
OI-0096,ORD-10049,Running Shorts,Clothing,15.0,1
OI-0097,ORD-10050,USB-C Hub,Electronics,49.0,3
OI-0098,ORD-10050,Mechanical Keyboard,Electronics,299.0,2
OI-0099,ORD-10050,USB-C Hub,Electronics,25.0,3
OI-0100,ORD-10051,Sunscreen,Beauty,14.0,1
OI-0101,ORD-10052,Bluetooth Speaker,Electronics,299.0,3
OI-0102,ORD-10052,4K Monitor,Electronics,25.0,3
OI-0103,ORD-10053,Yoga Mat,Sports,11.0,3
OI-0104,ORD-10054,Jump Rope,Sports,15.0,2
OI-0105,ORD-10055,Self-Help,Books,29.0,2
OI-0106,ORD-10055,Self-Help,Books,16.0,3
