order_id,order_date,customer_id,product_category,region,quantity,unit_price,total
ORD-10001,2024-03-24,C019,Sports,East,5,195.65,978.25
ORD-10002,2024-02-05,C025,Electronics,North,5,224.61,1123.05
ORD-10003,2024-02-21,C014,Beauty,North,2,357.48,714.96
ORD-10004,2024-04-13,C017,Home,North,5,448.27,2241.35
ORD-10005,2024-06-24,C018,Home,East,1,308.36,308.36
ORD-10006,2024-01-10,C001,Books,East,4,75.38,301.52
ORD-10007,2024-05-25,C004,Books,East,2,230.92,461.84
ORD-10008,2024-06-17,C012,Clothing,North,5,93.52,467.6
ORD-10009,2024-05-11,C030,Home,East,4,13.67,54.68
ORD-10010,2024-02-02,C003,Electronics,West,2,395.71,791.42
ORD-10011,2024-01-25,C005,Books,West,5,345.8,1729.0
ORD-10012,2024-05-06,C020,Sports,South,3,239.81,719.43
ORD-10013,2024-05-25,C013,Books,East,2,322.26,644.52
ORD-10014,2024-04-17,C008,Electronics,East,4,58.85,235.4
ORD-10015,2024-01-19,C008,Electronics,North,5,107.4,537.0
ORD-10016,2024-06-21,C029,Electronics,East,1,106.88,106.88
ORD-10017,2024-01-17,C016,Clothing,South,2,128.92,257.84
ORD-10018,2024-06-19,C026,Sports,West,5,215.34,1076.7
ORD-10019,2024-02-04,C012,Sports,West,1,298.25,298.25
ORD-10020,2024-04-28,C021,Electronics,North,1,304.65,304.65
ORD-10021,2024-04-24,C004,Clothing,South,3,361.26,1083.78
ORD-10022,2024-02-18,C006,Home,West,4,67.38,269.52
ORD-10023,2024-02-28,C028,Beauty,North,1,202.19,202.19
ORD-10024,2024-01-21,C003,Clothing,South,5,377.03,1885.15
ORD-10025,2024-04-16,C013,Electronics,South,4,100.12,400.48
ORD-10026,2024-04-01,C026,Sports,East,4,123.02,492.08
ORD-10027,2024-04-23,C016,Clothing,South,5,299.53,1497.65
ORD-10028,2024-03-07,C018,Electronics,East,1,262.74,262.74
ORD-10029,2024-01-02,C030,Beauty,South,5,217.17,1085.85
ORD-10030,2024-01-17,C003,Beauty,North,1,383.85,383.85
ORD-10031,2024-06-28,C029,Beauty,South,2,184.68,369.36
ORD-10032,2024-05-20,C014,Books,East,1,280.62,280.62
ORD-10033,2024-03-07,C013,Clothing,East,3,111.22,333.66
ORD-10034,2024-04-11,C020,Beauty,North,1,9.15,9.15
ORD-10035,2024-01-18,C005,Home,North,2,230.12,460.24
ORD-10036,2024-02-12,C027,Beauty,East,3,75.2,225.6
ORD-10037,2024-05-26,C027,Beauty,East,5,8.48,42.4
ORD-10038,2024-06-04,C029,Electronics,South,2,122.69,245.38
ORD-10039,2024-03-10,C011,Clothing,East,5,98.73,493.65
ORD-10040,2024-05-16,C028,Electronics,North,3,407.87,1223.61
ORD-10041,2024-06-14,C011,Clothing,East,3,24.62,73.86
ORD-10042,2024-02-24,C014,Beauty,North,4,250.5,1002.0
ORD-10043,2024-01-03,C027,Home,South,2,247.79,495.58
ORD-10044,2024-04-05,C029,Electronics,East,1,142.17,142.17
ORD-10045,2024-02-22,C012,Beauty,West,2,301.79,603.58
ORD-10046,2024-05-24,C008,Clothing,South,2,416.96,833.92
ORD-10047,2024-04-01,C011,Sports,South,2,332.77,665.54
ORD-10048,2024-03-06,C002,Sports,South,1,175.23,175.23
ORD-10049,2024-02-27,C027,Clothing,South,4,160.6,642.4
ORD-10050,2024-01-22,C009,Electronics,East,2,182.32,364.64
ORD-10051,2024-03-21,C027,Beauty,East,5,182.86,914.3
ORD-10052,2024-01-04,C009,Electronics,North,3,84.46,253.38
ORD-10053,2024-05-14,C011,Sports,North,3,329.2,987.6
ORD-10054,2024-04-19,C023,Sports,North,2,118.35,236.7
ORD-10055,2024-05-26,C024,Books,South,5,310.65,
ORD-10056,2024-03-14,C030,Home,East,1,427.25,427.25
ORD-10057,2024-06-28,C010,Beauty,East,1,325.29,325.29
ORD-10058,2024-06-14,C010,Beauty,South,3,184.07,552.21
ORD-10059,2024-02-14,C029,Clothing,East,4,306.41,1225.64
ORD-10060,2024-04-18,C007,Sports,East,1,140.22,140.22
ORD-10061,2024-04-15,C017,Sports,South,4,305.65,1222.6
ORD-10062,2024-06-03,C021,Beauty,East,3,234.38,703.14
ORD-10063,2024-01-27,C008,Clothing,South,2,304.39,608.78
ORD-10064,2024-01-02,C020,Electronics,West,2,442.85,885.7
ORD-10065,2024-04-21,C023,Sports,West,5,91.52,457.6
ORD-10066,2024-04-08,C001,Electronics,West,2,296.95,593.9
ORD-10067,2024-02-06,C018,Clothing,North,5,211.72,1058.6
ORD-10068,2024-04-05,C018,Beauty,East,4,302.07,1208.28
ORD-10069,2024-04-20,C030,Beauty,West,5,194.9,974.5
ORD-10070,2024-02-24,C025,Clothing,East,4,205.28,821.12
ORD-10071,2024-05-16,C003,Books,East,2,127.2,254.4
ORD-10072,2024-02-09,C018,Electronics,South,3,147.27,441.81
ORD-10073,2024-02-08,C023,Clothing,North,4,313.81,1255.24
ORD-10074,2024-04-14,C014,Electronics,South,3,246.46,739.38
ORD-10075,2024-04-13,C001,Beauty,West,5,426.0,2130.0
ORD-10076,2024-04-01,C013,Sports,South,3,137.88,413.64
ORD-10077,2024-04-08,C001,Sports,East,3,198.95,596.85
ORD-10078,2024-06-22,C027,Sports,South,4,327.26,1309.04
ORD-10079,2024-05-18,C019,Beauty,North,1,408.58,408.58
ORD-10080,2024-01-21,C015,Clothing,North,4,65.39,261.56
ORD-10081,2024-03-13,C011,Home,West,3,99.19,297.57
ORD-10082,2024-03-25,C003,Sports,North,4,117.26,469.04
ORD-10083,2024-06-18,C012,Clothing,North,1,449.96,449.96
ORD-10084,2024-06-02,C007,Electronics,South,1,427.58,427.58
ORD-10085,2024-02-05,C019,Clothing,West,4,302.91,1211.64
ORD-10086,2024-06-09,C020,Books,North,3,79.67,239.01
ORD-10087,2024-02-10,C030,Home,West,1,262.51,262.51
ORD-10088,2024-04-23,C023,Books,South,2,38.82,77.64
ORD-10089,2024-01-23,C020,Electronics,North,3,383.38,1150.14
ORD-10090,2024-03-18,C003,Beauty,East,4,299.38,1197.52
ORD-10091,2024-01-28,C004,Sports,East,4,370.94,1483.76
ORD-10092,2024-06-27,C014,Clothing,East,4,319.75,1279.0
ORD-10093,2024-05-26,C015,Sports,East,5,349.72,1748.6
ORD-10094,2024-03-28,C003,Home,West,2,374.68,749.36
ORD-10095,2024-02-25,C022,Sports,East,4,258.58,1034.32
ORD-10096,2024-01-16,C007,Home,East,3,85.92,257.76
ORD-10097,2024-03-09,C009,Beauty,North,5,317.03,1585.15
ORD-10098,2024-05-07,C014,Sports,South,1,112.4,112.4
ORD-10099,2024-06-16,C001,Electronics,East,4,204.44,817.76
ORD-10100,2024-02-13,C019,Home,West,2,141.26,282.52
ORD-10101,2024-05-17,C024,Beauty,East,3,194.35,583.05
ORD-10102,2024-03-23,C009,Clothing,North,4,125.56,502.24
ORD-10103,2024-06-07,C018,Books,South,3,58.2,174.6
ORD-10104,2024-02-07,C019,Beauty,East,4,128.04,512.16
ORD-10105,2024-01-27,C012,Clothing,East,2,136.83,273.66
ORD-10106,2024-01-23,C002,Electronics,East,5,61.33,306.65
ORD-10107,2024-06-05,C001,Beauty,East,4,50.65,202.6
ORD-10108,2024-04-16,C002,Home,West,4,156.61,626.44
ORD-10109,2024-01-27,C003,Beauty,North,1,183.31,183.31
ORD-10110,2024-02-05,C003,Clothing,North,5,427.36,2136.8
ORD-10111,2024-05-25,C026,Beauty,South,4,274.81,1099.24
ORD-10112,2024-05-13,C010,Beauty,West,4,409.28,99999.0
ORD-10113,2024-03-19,C024,Electronics,South,5,31.8,159.0
ORD-10114,2024-06-07,C006,Clothing,South,3,298.89,896.67
ORD-10115,2024-05-03,C015,Books,West,2,6.19,12.38
ORD-10116,2024-03-02,C010,Books,West,2,133.21,266.42
